Subject,Start Date,Start Time,End Time
Lunch,12/12/2022,10:57 AM,11:47 AM
Period 5,12/12/2022,11:52 AM,12:54 PM
Period 6,12/12/2022,12:59 PM,1:42 PM
Period 7,12/12/2022,1:47 PM,2:30 PM
Period 1,12/13/2022,7:45 AM,8:33 AM
Period 2,12/13/2022,8:38 AM,9:21 AM
Period 3,12/13/2022,9:26 AM,10:09 AM
Period 4,12/13/2022,10:14 AM,10:57 AM
Lunch,12/13/2022,10:57 AM,11:47 AM
Period 5,12/13/2022,11:52 AM,12:35 PM
Period 6,12/13/2022,12:40 PM,1:42 PM
Period 7,12/13/2022,1:47 PM,2:30 PM
Period 1,12/14/2022,7:45 AM,8:30 AM
Period 2,12/14/2022,8:35 AM,9:17 AM
Period 3,12/14/2022,9:52 AM,10:34 AM
Period 4,12/14/2022,10:39 AM,11:21 AM
Lunch,12/14/2022,11:21 AM,12:09 PM
Period 5,12/14/2022,12:14 PM,12:56 PM
Period 6,12/14/2022,1:01 PM,1:43 PM
Period 7,12/14/2022,1:48 PM,2:30 PM
Advisory,12/14/2022,9:22 AM,9:47 AM
Period 1,12/15/2022,7:45 AM,8:33 AM
Period 2,12/15/2022,8:38 AM,9:21 AM
Period 3,12/15/2022,9:26 AM,10:09 AM
Period 4,12/15/2022,10:14 AM,10:57 AM
Lunch,12/15/2022,10:57 AM,11:47 AM
Period 5,12/15/2022,11:52 AM,12:35 PM
Period 6,12/15/2022,12:40 PM,1:23 PM
Period 7,12/15/2022,1:28 PM,2:30 PM
Period 1,12/19/2022,7:45 AM,8:52 AM
Period 2,12/19/2022,8:57 AM,9:40 AM
Period 3,12/19/2022,9:45 AM,10:28 AM
Period 4,12/19/2022,10:33 AM,11:16 AM
Lunch,12/19/2022,11:16 AM,12:06 PM
Period 5,12/19/2022,12:11 PM,12:54 PM
Period 6,12/19/2022,12:59 PM,1:42 PM
Period 7,12/19/2022,1:47 PM,2:30 PM
Period 1,12/20/2022,7:45 AM,8:33 AM
Period 2,12/20/2022,8:38 AM,9:40 AM
Period 3,12/20/2022,9:45 AM,10:28 AM
Period 4,12/20/2022,10:33 AM,11:16 AM
Lunch,12/20/2022,11:16 AM,12:06 PM
Period 5,12/20/2022,12:11 PM,12:54 PM
Period 6,12/20/2022,12:59 PM,1:42 PM
Period 7,12/20/2022,1:47 PM,2:30 PM
Period 1,12/21/2022,7:45 AM,8:30 AM
Period 2,12/21/2022,8:35 AM,9:17 AM
Period 3,12/21/2022,9:52 AM,10:34 AM
Period 4,12/21/2022,10:39 AM,11:21 AM
Lunch,12/21/2022,11:21 AM,12:09 PM
Period 5,12/21/2022,12:14 PM,12:56 PM
Period 6,12/21/2022,1:01 PM,1:43 PM
Period 7,12/21/2022,1:48 PM,2:30 PM
Advisory,12/21/2022,9:22 AM,9:47 AM
Period 1,12/22/2022,7:45 AM,8:33 AM
Period 2,12/22/2022,8:38 AM,9:21 AM
Period 3,12/22/2022,9:26 AM,10:28 AM
Period 4,12/22/2022,10:33 AM,11:16 AM
Lunch,12/22/2022,11:16 AM,12:06 PM
Period 5,12/22/2022,12:11 PM,12:54 PM
Period 6,12/22/2022,12:59 PM,1:42 PM
Period 7,12/22/2022,1:47 PM,2:30 PM
Period 1,1/3/2023,7:45 AM,8:33 AM
Period 2,1/3/2023,8:38 AM,9:21 AM
Period 3,1/3/2023,9:26 AM,10:09 AM
Period 4,1/3/2023,10:14 AM,11:16 AM
Lunch,1/3/2023,11:16 AM,12:06 PM
Period 5,1/3/2023,12:11 PM,12:54 PM
